Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Shane Zylstra (DET),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Jacobson (NO),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bushman (KC),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dominique Curry (DET),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drake Dunsmore (TB),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Dearth (NYJ),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Matthews (CAR),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Dinkins (NO),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Fine (HOU),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Foschi (CIN),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Cottam (KC),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Branson (ATL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Haynos (MIA),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Snow (IND),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Zinger (ATL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Wood (NO),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Stephen Anderson (LAC),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
J.P. Holtz (FA),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nick Vannett (LAC),TE,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Troy Fumagalli (MIN),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Thomas (FA),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
David Wells (TB),TE,2,2,-10,-5,1,0,0,0,0,0,0,5,0,0
Darrell Daniels (FA),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Anthony Firkser (DET),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andrew DePaola (MIN),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Eric Tomlinson (IND),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Winchester (KC),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyler Ott (BAL),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Patrick Scales (CHI),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyler Kroft (MIA),TE,0,0,0,0,0,0,0,0,0,0,0,6,0,0
