Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Andre Baccellia (ARI),WR,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Quintez Cephus (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denzel Mims (PIT),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ Hamler (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Kennedy (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Merritt (FA),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cody White (SEA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Swain (MIA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Mack (ATL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrie Cleveland (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Black (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway (NO),WR,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Easop Winston Jr. (SEA),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Irvin Charles (NYJ),WR,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Ethan Fernea (IND),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dennis Houston (NYG),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendric Pryor (CIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Cropper (DAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Matthews (HOU),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Ford-Wheaton (NYG),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Ali (ATL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Alexander (DET),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Williams (PIT),WR,0,2,0,0,0,0,0,0,0,0,0,12,0,0
Devon Allen (PHI),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mitchell Tinsley (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kaden Davis (ARI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Pierce Jr. (CAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance McCutcheon (NYJ),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raleigh Webb (TB),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Wright (CAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montrell Washington (KC),WR,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Dareke Young (SEA),WR,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Lucky Jackson (MIN),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Chase Cota (HOU),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
John Stephens Jr. (DAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrell Bynum (LAC),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brycen Tremayne (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Smith (LAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazmeir Allen (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duece Watts (PIT),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaquan Davis (NO),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephus Johnson III (TB),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Malik Knowles (MIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thayer Thomas (MIN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Wayne (HOU),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant DuBose (GB),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Durden (DAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Thompson (BUF),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Drummond (NYG),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tre'Shaun Harrison (TEN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller (TB),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sean Ryan (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Shavers (BUF),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Winstead (FA),WR,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Shedrick Jackson (CIN),WR,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Thyrick Pitts (GB),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zavier Scott (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Luther (NE),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Blair (ATL),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Frank Darby (ATL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell Powell (KC),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Johnson (SEA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dax Milne (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Austin Watkins Jr. (CLE),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaelon Darden (CLE),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kearis Jackson (TEN),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jacob Copeland (KC),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Woods II (CLE),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Ngata (PHI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tay Martin (SF),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Michael Bandy (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jalen Virgil (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Johnny Johnson III (HOU),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braylon Sanders (MIA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Shorter (BUF),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Gray (SF),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Turner (LV),WR,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Jacob Harris (JAC),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Racey McMath (DAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
